,City,Province,Price,Bedrooms,Bathrooms,Acreage,Property Type,Square Footage,Garage,Parking
15276,Burnaby,BC,4325000.0,4.0,2.0,0.17,Single Family,2455.0,Yes,No
15889,Burnaby,BC,2988000.0,9.0,4.0,0.16,Single Family,3370.0,Yes,Yes
15462,Burnaby,BC,3699000.0,4.0,2.0,0.14,Single Family,2100.0,No,Yes
14481,Burnaby,BC,2978888.0,8.0,8.0,0.15,Single Family,4386.0,Yes,Yes
2414,Burnaby,BC,2250000.0,8.0,4.0,0.17,Single Family,4269.0,Yes,No
15295,Burnaby,BC,1850000.0,2.0,2.0,0.14,Single Family,2240.0,Yes,Yes
13507,Burnaby,BC,2849000.0,6.0,6.0,0.18,Single Family,2967.0,Yes,No
15308,Burnaby,BC,2895000.0,8.0,7.0,0.13,Single Family,3980.0,Yes,No
13489,Burnaby,BC,2288000.0,5.0,3.0,0.24,Single Family,2928.0,Yes,Yes
15553,Burnaby,BC,3088000.0,3.0,2.0,0.09,Single Family,1123.0,Yes,No
15806,Burnaby,BC,2100000.0,4.0,2.0,0.09,Single Family,2454.0,No,No
15805,Burnaby,BC,3398000.0,5.0,5.0,0.1,Single Family,2541.0,Yes,No
15375,Burnaby,BC,3698000.0,4.0,3.0,0.37,Single Family,2852.0,Yes,No
15736,Burnaby,BC,3650000.0,7.0,6.0,0.17,Single Family,4320.0,Yes,No
15381,Burnaby,BC,3232800.0,6.0,4.0,0.16,Single Family,2739.0,No,No
15383,Burnaby,BC,3150000.0,3.0,3.0,0.13,Single Family,2167.0,Yes,Yes
15698,Burnaby,BC,2398000.0,4.0,3.0,0.25,Single Family,2400.0,Yes,Yes
14466,Burnaby,BC,4888000.0,7.0,7.0,0.22,Single Family,5803.0,Yes,Yes
15699,Burnaby,BC,1888000.0,4.0,2.0,0.09,Single Family,1900.0,Yes,No
15696,Burnaby,BC,3800000.0,7.0,3.0,0.7,Single Family,3996.0,Yes,No
2482,Burnaby,BC,4250000.0,4.0,2.0,0.24,Single Family,1720.0,Yes,No
15335,Burnaby,BC,4290000.0,7.0,6.0,1.7,Single Family,4730.0,Yes,Yes
15803,Burnaby,BC,3398000.0,4.0,3.0,0.1,Single Family,2527.0,Yes,No
15804,Burnaby,BC,3398000.0,4.0,0.0,0.1,Single Family,1350.0,Yes,No
15275,Burnaby,BC,4325000.0,4.0,2.0,0.17,Single Family,2426.0,Yes,No
14469,Burnaby,BC,2199900.0,7.0,4.0,0.09,Single Family,2259.0,Yes,No
15364,Burnaby,BC,4388000.0,8.0,9.0,0.16,Single Family,4957.0,Yes,No
15361,Burnaby,BC,3088000.0,4.0,3.0,0.09,Single Family,2195.0,Yes,No
15357,Burnaby,BC,3982500.0,3.0,1.0,0.2,Single Family,1132.0,No,Yes
13428,Burnaby,BC,2400000.0,4.0,2.0,0.17,Single Family,3309.0,No,No
15356,Burnaby,BC,3780000.0,3.0,2.0,0.19,Single Family,1974.0,No,Yes
15250,Burnaby,BC,2450000.0,7.0,5.0,0.14,Single Family,3612.0,Yes,No
381,Burnaby,BC,2870000.0,5.0,5.0,0.19,Single Family,6725.0,Yes,No
15210,Burnaby,BC,3622500.0,4.0,4.0,0.18,Single Family,3051.0,No,Yes
15228,Burnaby,BC,3188000.0,7.0,6.0,0.14,Single Family,4067.0,No,No
13546,Burnaby,BC,2699900.0,4.0,1.0,0.28,Single Family,2377.0,Yes,Yes
15488,Burnaby,BC,1999990.0,7.0,3.0,0.13,Single Family,2392.0,Yes,No
15256,Burnaby,BC,2970000.0,4.0,3.0,0.15,Single Family,2121.0,Yes,No
2397,Burnaby,BC,2999888.0,8.0,5.0,0.15,Single Family,3983.0,Yes,Yes
13532,Burnaby,BC,4000000.0,6.0,5.0,0.23,Single Family,4798.0,Yes,No
427,Burnaby,BC,3200000.0,3.0,3.0,0.21,Single Family,2336.0,Yes,No
13531,Burnaby,BC,3399900.0,6.0,6.0,0.17,Single Family,4541.0,Yes,No
437,Burnaby,BC,2399000.0,7.0,4.0,0.14,Single Family,3817.0,Yes,Yes
15158,Burnaby,BC,3600000.0,4.0,2.0,0.14,Single Family,2278.0,Yes,No
15744,Coquitlam,BC,2745600.0,3.0,2.0,0.2,Single Family,2243.0,Yes,No
15212,Coquitlam,BC,3000000.0,4.0,3.0,0.18,Single Family,2144.0,Yes,Yes
15644,Coquitlam,BC,4096400.0,2.0,1.0,0.17,Single Family,1100.0,No,No
15218,Coquitlam,BC,2880000.0,6.0,6.0,0.14,Single Family,4603.0,Yes,No
15232,Coquitlam,BC,3325000.0,5.0,3.0,0.17,Single Family,2310.0,Yes,Yes
15239,Coquitlam,BC,3000000.0,5.0,3.0,0.15,Single Family,3052.0,Yes,Yes
9679,Coquitlam,BC,1980000.0,4.0,2.0,0.18,Single Family,2338.0,Yes,Yes
15241,Coquitlam,BC,3075000.0,4.0,4.0,0.16,Single Family,2590.0,Yes,Yes
15242,Coquitlam,BC,4400000.0,4.0,3.0,0.22,Single Family,3015.0,Yes,Yes
15244,Coquitlam,BC,4325000.0,4.0,3.0,0.22,Single Family,2960.0,Yes,Yes
15245,Coquitlam,BC,4025000.0,4.0,3.0,0.21,Single Family,2598.0,Yes,Yes
14694,Coquitlam,BC,1569000.0,3.0,2.0,0.18,Single Family,2135.0,Yes,Yes
15264,Coquitlam,BC,1840000.0,3.0,2.0,0.17,Single Family,2294.0,Yes,No
15400,Coquitlam,BC,3000000.0,8.0,4.0,0.18,Single Family,3524.0,No,Yes
15888,Coquitlam,BC,1425000.0,2.0,1.0,0.28,Single Family,700.0,Yes,Yes
15887,Coquitlam,BC,3637000.0,3.0,2.0,0.22,Single Family,1858.0,Yes,Yes
15661,Coquitlam,BC,2200000.0,3.0,1.0,0.15,Single Family,1372.0,No,Yes
15200,Coquitlam,BC,2300000.0,3.0,3.0,0.18,Single Family,1750.0,No,Yes
7341,Coquitlam,BC,1199000.0,3.0,2.0,0.09,Single Family,1656.0,Yes,No
15646,Coquitlam,BC,4096400.0,1.0,1.0,0.17,Single Family,1100.0,No,No
9399,Coquitlam,BC,1469900.0,5.0,4.0,0.04,Single Family,1956.0,Yes,No
16147,Coquitlam,BC,1998000.0,7.0,6.0,0.08,Single Family,3501.0,Yes,No
15645,Coquitlam,BC,3350600.0,1.0,1.0,0.14,Single Family,1100.0,No,No
15647,Coquitlam,BC,4857600.0,1.0,1.0,0.2,Single Family,1100.0,No,No
14457,Coquitlam,BC,1499000.0,5.0,3.0,0.16,Single Family,2181.0,Yes,No
16128,Coquitlam,BC,1650000.0,3.0,3.0,0.17,Single Family,2138.0,Yes,Yes
15164,Coquitlam,BC,3000000.0,4.0,3.0,0.15,Single Family,2473.0,No,No
1256,Coquitlam,BC,2225000.0,6.0,5.0,0.09,Single Family,3966.0,Yes,Yes
15648,Coquitlam,BC,4096400.0,0.0,1.0,0.17,Single Family,250.0,No,No
15649,Coquitlam,BC,4150300.0,2.0,1.0,0.17,Single Family,250.0,No,No
15650,Coquitlam,BC,4670050.0,1.0,1.0,0.19,Single Family,600.0,No,No
15655,Coquitlam,BC,1949000.0,6.0,4.0,0.19,Single Family,3122.0,Yes,Yes
15514,Coquitlam,BC,2500000.0,5.0,2.0,0.18,Single Family,2341.0,Yes,Yes
15656,Coquitlam,BC,2200000.0,3.0,2.0,0.14,Single Family,1802.0,Yes,Yes
