,streetAddress,addressLocality,addressRegion,postalCode,latitude,longitude,price,property-beds,property-baths,property-sqft,Garage,Property Type,Square Footage
11953,"1505 2088 MADISON AVENUE, Burnaby, BC V5C 6T5",Burnaby,BC,V5C 6T5,49.2659548,-123.0080973,819000.0,2.0,2.0,993,,Condo,993 SQFT
12067,"2510 4688 KINGSWAY, Burnaby, BC V5H 0E9",Burnaby,BC,V5H 0E9,49.2287559,-123.0014456,698000.0,1.0,1.0,656,,Condo,656 SQFT
4373,"2603 4485 SKYLINE DRIVE, Burnaby, BC V5C 0J2",Burnaby,BC,V5C 0J2,49.2657153,-123.0035906,949900.0,2.0,2.0,867,,Condo,867 SQFT
7386,"4507 3809 EVERGREEN PLACE, Burnaby, BC V3J 0M1",Burnaby,BC,V3J 0M1,49.2501393,-122.8940917,878000.0,2.0,2.0,819,,Condo,819 SQFT
12059,"3345 CARDINAL DRIVE, Burnaby, BC V5A 2T7",Burnaby,BC,V5A 2T7,49.2548243,-122.9547464,2299000.0,3.0,3.0,"1,827",,Single Family,"1,827 SQFT"
6677,"206 7161 17TH AVENUE, Burnaby, BC V3N 1K8",Burnaby,BC,V3N 1K8,49.2147596,-122.9534353,1098000.0,3.0,3.0,"1,101",,Townhome,"1,101 SQFT"
12051,"1308 5685 HALLEY AVENUE, Burnaby, BC V5H 2P8",Burnaby,BC,V5H 2P8,49.2332529,-123.0089651,656000.0,1.0,1.0,583,,Condo,583 SQFT
12037,"5988 LEIBLY AVENUE, Burnaby, BC V5E 3C8",Burnaby,BC,V5E 3C8,49.2302309,-122.9623508,2990000.0,7.0,8.0,"5,577",,Single Family,"5,577 SQFT"
12024,"3606 4688 KINGSWAY, Burnaby, BC V5H 0E9",Burnaby,BC,V5H 0E9,49.2287559,-123.0014456,578000.0,1.0,1.0,493,,Condo,493 SQFT
12036,"2403 6700 DUNBLANE AVENUE, Burnaby, BC V5H 0J3",Burnaby,BC,V5H 0J3,49.2227754,-122.9922157,895000.0,2.0,2.0,850,,Condo,850 SQFT
4387,"204 9145 SATURNA DRIVE, Burnaby, BC V3J 7K1",Burnaby,BC,V3J 7K1,49.2601427,-122.9055148,499900.0,2.0,1.0,830,,Condo,830 SQFT
11935,"1906 6700 DUNBLANE AVENUE, Burnaby, BC V5H 0J3",Burnaby,BC,V5H 0J3,49.2227754,-122.9922157,988000.0,2.0,2.0,848,,Condo,848 SQFT
12030,"1461 SHERLOCK AVENUE, Burnaby, BC V5A 2M9",Burnaby,BC,V5A 2M9,49.2706437,-122.9567382,3780000.0,8.0,6.0,"4,660",,Single Family,"4,660 SQFT"
12026,"403 9232 UNIVERSITY CRESCENT, Burnaby, BC V5A 0A3",Burnaby,BC,V5A 0A3,49.27979,-122.904988,638000.0,2.0,1.0,811,,Condo,811 SQFT
11944,"2002 4333 CENTRAL BOULEVARD, Burnaby, BC V5H 4W8",Burnaby,BC,V5H 4W8,49.2287643,-123.0086023,868000.0,2.0,2.0,"1,077",,Condo,"1,077 SQFT"
11950,"315 5889 IRMIN STREET, Burnaby, BC V5J 0C1",Burnaby,BC,V5J 0C1,49.2157069,-122.9777902,555000.0,1.0,1.0,587,,Condo,587 SQFT
6676,"301 4570 HASTINGS STREET, Burnaby, BC V5C 0E8",Burnaby,BC,V5C 0E8,49.2809183,-123.0011042,868000.0,1.0,1.0,853,,Condo,853 SQFT
12032,"6507 WALTHAM AVENUE, Burnaby, BC V5H 3V6",Burnaby,BC,V5H 3V6,49.2247812,-122.9766954,2900000.0,4.0,4.0,"3,669",,Single Family,"3,669 SQFT"
12080,"7289 GRAY AVENUE, Burnaby, BC V5J 3Z1",Burnaby,BC,V5J 3Z1,49.2176301,-122.9998515,3099800.0,8.0,7.0,"4,423",,Single Family,"4,423 SQFT"
10254,"3605 LYNNDALE CRESCENT, Burnaby, BC V5A 3S4",Burnaby,BC,V5A 3S4,49.2524697,-122.9533445,2699900.0,5.0,5.0,"4,975",,Single Family,"4,975 SQFT"
12146,"512 9888 UNIVERSITY CRESCENT, Burnaby, BC V5A 0G4",Burnaby,BC,V5A 0G4,49.2757475,-122.908985,535000.0,1.0,1.0,616,,Condo,616 SQFT
12391,"202 8940 UNIVERSITY CRESCENT, Burnaby, BC V5A 4Y8",Burnaby,BC,V5A 4Y8,49.2804027,-122.9086955,729500.0,2.0,2.0,927,,Condo,927 SQFT
12377,"1930 HOLDOM AVENUE, Burnaby, BC V5B 3W3",Burnaby,BC,V5B 3W3,49.2666702,-122.9808455,3600000.0,4.0,2.0,"2,278",,Single Family,"2,278 SQFT"
12371,"PH18 9250 UNIVERSITY HIGH STREET, Burnaby, BC V5A 0B3",Burnaby,BC,V5A 0B3,49.2771999,-122.9075029,638000.0,2.0,2.0,888,,Condo,888 SQFT
12370,"1405 5685 HALLEY AVENUE, Burnaby, BC V5H 2P8",Burnaby,BC,V5H 2P8,49.2332529,-123.0089651,935000.0,2.0,2.0,850,,Condo,850 SQFT
12365,"1608 2388 MADISON AVENUE, Burnaby, BC V5C 0K8",Burnaby,BC,V5C 0K8,49.2629537,-123.0081528,883000.0,2.0,2.0,827,,Condo,827 SQFT
4267,"4825 NEVILLE STREET, Burnaby, BC V5J 2H4",Burnaby,BC,V5J 2H4,49.2141637,-122.9952899,3218000.0,8.0,7.0,"4,368",,Single Family,"4,368 SQFT"
12350,"2807 6537 TELFORD AVENUE, Burnaby, BC V5H 0K9",Burnaby,BC,V5H 0K9,49.2245617,-123.0048299,998000.0,2.0,2.0,907,,Condo,907 SQFT
12343,"3707 4890 LOUGHEED HIGHWAY, Burnaby, BC V5C 0N2",Burnaby,BC,V5C 0N2,49.2651874,-122.9927837,1590000.0,3.0,3.0,"1,265",,Condo,"1,265 SQFT"
12342,"2603 6288 CASSIE AVENUE, Burnaby, BC V5H 0H7",Burnaby,BC,V5H 0H7,49.2258626,-123.0074036,1788000.0,3.0,3.0,"1,464",,Condo,"1,464 SQFT"
7337,"501 8850 UNIVERSITY CRESCENT, Burnaby, BC V5A 4Y8",Burnaby,BC,V5A 4Y8,49.280126,-122.9097613,530000.0,1.0,1.0,584,,Condo,584 SQFT
12333,"5328 CHESHAM AVENUE, Burnaby, BC V5H 2L2",Burnaby,BC,V5H 2L2,49.236113,-123.0183419,2098000.0,5.0,4.0,"2,410",,Single Family,"2,410 SQFT"
12321,"204 5535 HASTING STREET STREET, Burnaby, BC V5B 1R2",Burnaby,BC,V5B 1R2,49.280625,-122.982961,1240000.0,0.0,1.0,830,,Condo,830 SQFT
4282,"6430 PORTLAND STREET, Burnaby, BC V5E 1A2",Burnaby,BC,V5E 1A2,49.2117428,-122.9703413,1850000.0,4.0,2.0,"1,728",,Single Family,"1,728 SQFT"
12307,"305 2085 SKYLINE COURT, Burnaby, BC V6V 1E1",Burnaby,BC,V6V 1E1,49.2652591,-123.0046757,938000.0,2.0,2.0,795,,Condo,795 SQFT
12346,"201 4788 BRENTWOOD DRIVE, Burnaby, BC V5C 0C5",Burnaby,BC,V5C 0C5,49.2663247,-122.9937824,729000.0,2.0,2.0,839,,Condo,839 SQFT
12407,"1803 6398 SILVER AVENUE, Burnaby, BC V5H 0K7",Burnaby,BC,V5H 0K7,49.2250022,-123.0055424,1099000.0,2.0,2.0,918,,Condo,918 SQFT
12417,"1905 3833 EVERGREEN PLACE, Burnaby, BC V3J 0M2",Burnaby,BC,V3J 0M2,49.2496906,-122.8940859,990000.0,3.0,2.0,932,,Condo,932 SQFT
7336,"1406 4988 BENNETT STREET, Burnaby, BC V0V 0V0",Burnaby,BC,V0V 0V0,49.2247834,-122.9931789,1040900.0,2.0,2.0,839,,Condo,839 SQFT
12457,"1605 2351 BETA AVENUE, Burnaby, BC V5C 0M2",Burnaby,BC,V5C 0M2,49.2634236,-122.9977824,688000.0,1.0,1.0,631,,Condo,631 SQFT
12456,"3 9151 FOREST GROVE DRIVE, Burnaby, BC V5A 3Z5",Burnaby,BC,V5A 3Z5,49.2629326,-122.9061334,899000.0,3.0,2.0,"1,225",,Townhome,"1,225 SQFT"
12454,"5891 MCKEE STREET, Burnaby, BC V5J 2V4",Burnaby,BC,V5J 2V4,49.2114167,-122.9777217,3188000.0,7.0,6.0,"4,067",,Single Family,"4,067 SQFT"
4237,"2404 4538 DAWSON STREET, Burnaby, BC V5C 5J6",Burnaby,BC,V5C 5J6,49.2641313,-123.0017079,985900.0,2.0,2.0,768,,Condo,768 SQFT
12440,"1602 1888 GILMORE AVENUE, Burnaby, BC V5C 0L2",Burnaby,BC,V5C 0L2,49.2675757,-123.0136292,589000.0,1.0,1.0,485,,Condo,485 SQFT
12410,"1006 4711 HAZEL STREET, Burnaby, BC V5H 0J9",Burnaby,BC,V5H 0J9,49.2293447,-122.997897,699000.0,1.0,1.0,521,,Condo,521 SQFT
12439,"3902 1888 GILMORE AVENUE, Burnaby, BC V5C 0L2",Burnaby,BC,V5C 0L2,49.2675757,-123.0136292,599000.0,1.0,1.0,485,,Condo,485 SQFT
12434,"1302 8940 UNIVERSITY CRESCENT, Burnaby, BC V5A 4Y8",Burnaby,BC,V5A 4Y8,49.2804027,-122.9086955,1338000.0,2.0,2.0,"1,309",,Condo,"1,309 SQFT"
12426,"2510 4711 HAZEL STREET, Burnaby, BC V5H 0J9",Burnaby,BC,V5H 0J9,49.2293447,-122.997897,599900.0,1.0,1.0,492,,Condo,492 SQFT
6697,"4150 IRMIN STREET, Burnaby, BC V5J 1X5",Burnaby,BC,V5J 1X5,49.215542,-123.0114278,2249000.0,3.0,2.0,"2,254",,Single Family,"2,254 SQFT"
12424,"1908 6700 DUNBLANE AVENUE, Burnaby, BC V5H 0J3",Burnaby,BC,V5H 0J3,49.2227754,-122.9922157,1070000.0,2.0,2.0,896,,Condo,896 SQFT
4251,"509 6658 DOW AVENUE, Burnaby, BC V5H 0C7",Burnaby,BC,V5H 0C7,49.2234743,-123.0006669,899900.0,2.0,2.0,900,,Condo,900 SQFT
4252,"1109 6537 TELFORD AVENUE, Burnaby, BC V5H 0K9",Burnaby,BC,V5H 0K9,49.2245617,-123.0048299,886000.0,2.0,2.0,775,,Condo,775 SQFT
12422,"407 6699 DUNBLANE AVENUE, Burnaby, BC V5H 0J8",Burnaby,BC,V5H 0J8,49.2231602,-122.9929446,928000.0,2.0,2.0,776,,Condo,776 SQFT
12435,"6522 BROADWAY, Burnaby, BC V5B 2Y5",Burnaby,BC,V5B 2Y5,49.262117,-122.969682,3622500.0,4.0,4.0,"3,051",,Single Family,"3,051 SQFT"
12142,"4614 MARINE DRIVE, Burnaby, BC V5J 3G2",Burnaby,BC,V5J 3G2,49.207807,-122.999948,1798800.0,4.0,3.0,"2,128",,Single Family,"2,128 SQFT"
12297,"1502 6463 SILVER AVENUE, Burnaby, BC V5H 0K4",Burnaby,BC,V5H 0K4,49.2249375,-123.0070119,899900.0,2.0,2.0,756,,Condo,756 SQFT
4289,"1711 4538 DAWSON STREET, Burnaby, BC V5C 4C1",Burnaby,BC,V5C 4C1,49.2641313,-123.0017079,1009900.0,2.0,2.0,780,,Condo,780 SQFT
12192,"6192 ELGIN AVENUE, Burnaby, BC V5H 3S4",Burnaby,BC,V5H 3S4,49.2278319,-122.9821431,3990000.0,7.0,8.0,"4,729",,Single Family,"4,729 SQFT"
6690,"4403 3809 EVERGREEN PLACE, Burnaby, BC V3J 0M1",Burnaby,BC,V3J 0M1,49.2501393,-122.8940917,649000.0,1.0,1.0,565,,Condo,565 SQFT
12187,"6630-6632 CANADA WAY, Burnaby, BC V5E 3P7",Burnaby,BC,V5E 3P7,49.229586,-122.947109,1860000.0,9.0,4.0,"3,114",,MultiFamily,"3,114 SQFT"
12184,"2505 6098 STATION STREET, Burnaby, BC V5H 0H4",Burnaby,BC,V5H 0H4,49.2274664,-123.0027837,979900.0,2.0,2.0,903,,Condo,903 SQFT
12175,"602 8750 UNIVERSITY CRESCENT, Burnaby, BC V5A 0G9",Burnaby,BC,V5A 0G9,49.2797642,-122.9105636,699000.0,2.0,2.0,823,,Condo,823 SQFT
6689,"2003 7178 COLLIER STREET, Burnaby, BC V5E 4N7",Burnaby,BC,V5E 4N7,49.220306,-122.955051,919000.0,2.0,2.0,"1,040",,Condo,"1,040 SQFT"
6688,"201 7161 17TH AVENUE, Burnaby, BC V5S 1J9",Burnaby,BC,V5S 1J9,49.2147596,-122.9534353,1299000.0,3.0,3.0,"1,232",,Townhome,"1,232 SQFT"
12162,"4107 6000 MCKAY AVENUE, Burnaby, BC V5H 0K2",Burnaby,BC,V5H 0K2,49.2290892,-123.0027106,1499888.0,3.0,2.0,"1,118",,Condo,"1,118 SQFT"
11824,"1908 6588 NELSON AVENUE, Burnaby, BC V5H 0E8",Burnaby,BC,V5H 0E8,49.2238213,-122.9937756,898000.0,2.0,2.0,831,,Condo,831 SQFT
12158,"505 9868 CAMERON STREET, Burnaby, BC V3J 0A5",Burnaby,BC,V3J 0A5,49.2530801,-122.8945553,748800.0,2.0,2.0,963,,Condo,963 SQFT
4344,"1802 4890 LOUGHEED HIGHWAY, Burnaby, BC V5C 0N2",Burnaby,BC,V5C 0N2,49.2647856,-122.993126,899000.0,2.0,2.0,750,,Condo,750 SQFT
4345,"1704 4465 JUNEAU STREET, Burnaby, BC V5C 0L8",Burnaby,BC,V5C 0L8,49.2637912,-123.0041441,868000.0,2.0,2.0,864,,Condo,864 SQFT
12151,"1829 GOLETA DRIVE, Burnaby, BC V5A 1P6",Burnaby,BC,V5A 1P6,49.2677416,-122.9495198,699999.0,2.0,1.0,"1,164",,Townhome,"1,164 SQFT"
12166,"807 8725 UNIVERSITY CRESCENT, Burnaby, BC V5A 4Y8",Burnaby,BC,V5A 4Y8,49.2794858,-122.9093409,649000.0,2.0,1.0,732,,Condo,732 SQFT
12296,"6325 BROADWAY, Burnaby, BC V5B 2Y4",Burnaby,BC,V5B 2Y4,49.2634664,-122.9721366,2970000.0,6.0,3.0,"2,548",,Single Family,"2,548 SQFT"
7350,"1502 2232 DOUGLAS ROAD, Burnaby, BC V5C 0G9",Burnaby,BC,V5C 0G9,49.2643434,-122.9903544,589999.0,1.0,1.0,631,,Condo,631 SQFT
12286,"2003 4250 DAWSON STREET, Burnaby, BC V5C 4B1",Burnaby,BC,V5C 4B1,49.2643581,-123.009297,798000.0,2.0,2.0,874,,Condo,874 SQFT
12285,"5685 FOREST STREET, Burnaby, BC V5G 1X5",Burnaby,BC,V5G 1X5,49.2478408,-122.9808246,2168000.0,6.0,3.0,"2,333",,Single Family,"2,333 SQFT"
7341,"1401 2108 GILMORE AVENUE, Burnaby, BC V5C 0N8",Burnaby,BC,V5C 0N8,49.265457,-123.0130449,629000.0,1.0,1.0,585,,Condo,585 SQFT
12283,"4709 2186 GILMORE AVENUE, Burnaby, BC V5C 0N7",Burnaby,BC,V5C 0N7,49.26584,-123.0140792,899000.0,2.0,2.0,760,,Condo,760 SQFT
